ALIMENT;CALORIES
Fécule de pomme de terre;348
Flocon d'avoine;367
Farine de blé tendre ou froment T110;351
Farine de blé tendre ou froment T150;338
Farine de blé tendre ou froment T65;345
Farine de blé tendre ou froment T55 (pour pains);348
Farine de blé tendre ou froment avec levure incorporée;350
Farine de blé tendre ou froment T45 (pour pâtisserie);351
Farine de blé tendre ou froment T80;355
Amidon de maïs ou fécule de maïs;364
Farine de riz;357
Farine de seigle T170;315
Farine de seigle T85;344
Farine de seigle T130;344
Farine de sarrasin;348
Farine de maïs;361
Farine d'orge;339
Farine de millet;375
Farine de pois chiche;359
Son de blé;279
Son d'avoine;359
Son de maïs;226
Son de riz;398
Farine de soja;427
Amidon de riz;343
Épeautre, cru;344
Blé de Khorasan, cru;342
Blé tendre entier ou froment, cru;361
Blé germé, cru;211
Blé dur entier, cru;343
Blé dur précuit, entier, cru;360
Riz blanc, cru;353
Riz blanc étuvé, cru;356
Riz complet, cru;350
Riz sauvage, cru;344
Riz rouge, cru;352
Riz thaï ou basmati, cru;353
Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;355
Maïs entier, cru;348
Avoine, crue;366
Orge entière, crue;324
Orge perlée, crue;346
Mil entier, cru;359
Quinoa, cru;364
Amarante, crue;362
Sorgho entier, cru;345
Sarrasin entier, cru;354
Seigle entier, cru;329
Boulgour de blé, cru;351
Frik (blé dur immature concassé), cru;323
Semoule de blé dur, crue;353
Mélange de céréales et légumineuses, cru;354
Polenta ou semoule de maïs, précuite, sèche;350
Couscous (semoule de blé dur roulée précuite à la vapeur), crue;361
Pâtes sèches standard, crues;349
Pâtes fraîches, aux œufs, crues;283
Pâtes sèches, aux œufs, crues;381
Nouilles asiatiques aromatisées, déshydratées;357
Pâtes sèches, au blé complet, crues;353
Pâtes sèches, sans gluten, crues;356
Vermicelle de riz, sèche;365
Vermicelle de soja, sèche;344
Gnocchi à la pomme de terre, cru;176
Gnocchi à la semoule, cru;200
Blé dur précuit, grains entiers, cuit, non salé;144
Riz complet, cuit, non salé;158
Riz blanc, cuit, non salé;145
Riz blanc étuvé, cuit, non salé;146
Riz rouge, cuit, non salé;141
Riz sauvage, cuit, non salé;102
Orge perlée, bouilli/cuite à l'eau, non salée;119
Mil, cuit, non salé;116
Quinoa, bouilli cuit à l'eau, non salé;116
Boulgour de blé, cuit, non salé;80.7
Frik (blé dur immature concassé), cuit, non salé;76
Nouilles asiatiques cuites, aromatisées;111
Nouilles asiatiques cuites, nature, non salées;165
Polenta ou semoule de maïs, cuite, non salée;65
Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée;165
